NO.;Time;Interval;Indoor Temperature(°C);Indoor Humidity(%);Outdoor Temperature(°C);Outdoor Humidity(%);Relative Pressure(hpa);Absolute Pressure(hpa);Wind Speed(m/s);Gust(m/s);Wind Direction;DewPoint(°C);WindChill(°C);Hour Rainfall(mm);24 Hour Rainfall(mm);Week Rainfall(mm);Month Rainfall(mm);Total Rainfall(mm)
1;01.03.2015 00:06;30;21,7;33;-4,1;77;989,9;993,1;0;0;E;-7,5;-4,1;0;0;0;0;0
2;01.03.2015 00:17;30;21,5;39;5,2;83;976,4;979,6;1,7;3,4;W;2,6;5,2;0;0;0;0;0
3;01.03.2015 00:36;30;21,7;33;-4,4;78;990,3;993,5;0;0;E;-7,7;-4,4;0;0;0;0;0
4;01.03.2015 00:47;30;21,1;39;5,2;83;975,7;978,9;2,4;4,4;SW;2,6;2,8;0;0;0;0;0
5;01.03.2015 01:06;30;21,8;34;-4,1;79;990,3;993,5;0;0;E;-7,2;-4,1;0;0;0;0;0
6;01.03.2015 01:17;30;20,9;40;5,2;83;975,4;978,6;2,4;4,4;W;2,6;2,8;0;0;0;0;0
7;01.03.2015 01:36;30;22,2;33;-4,2;80;990,5;993,7;0;0;E;-7,1;-4,2;0;0;0;0;0
8;01.03.2015 01:47;30;20,6;40;5,1;83;974,6;977,8;1,4;2,4;NW;2,5;5,1;0;0;0;0;0
9;01.03.2015 02:06;30;22,4;33;-4,2;80;990,4;993,6;0;0;E;-7,1;-4,2;0;0;0;0;0
10;01.03.2015 02:17;30;20,5;40;5,2;82;973,7;976,9;3,4;4,4;SW;2,4;0,6;0;0;0;0;0
11;01.03.2015 02:36;30;22,5;33;--.-;--;991,1;994,3;--.-;--.-;---;--.-;--.-;0;0;0;0;0
12;01.03.2015 02:47;30;20,3;40;5,2;81;973,1;976,3;4,1;6,8;SW;2,2;-0,6;0;0;0;0;0
13;01.03.2015 03:06;30;22,6;33;--.-;--;991,4;994,6;--.-;--.-;---;--.-;--.-;0;0;0;0;0
14;01.03.2015 03:17;30;20,2;40;5,6;79;971,8;975;2,4;3,7;SW;2,3;3,2;0;0;0;0;0
15;01.03.2015 03:36;30;22,5;32;-3,2;80;991,3;994,5;0;0;E;-6,2;-3,2;0;0;0;0;0
16;01.03.2015 03:47;30;20,1;40;5,8;79;970,8;974;3,1;6,8;WNW;2,4;1,9;0;0;0;0;0
17;01.03.2015 04:06;30;22,4;32;-2,8;80;991,6;994,8;0;0;E;-5,8;-2,8;0;0;0;0;0
18;01.03.2015 04:17;30;20;40;6;76;969,7;972,9;1,7;2,7;E;2,1;6;0;0;0;0;0
19;01.03.2015 04:36;30;22,4;32;-2,4;80;991,6;994,8;0;0;E;-5,4;-2,4;0;0;0;0;0
20;01.03.2015 04:47;30;20;40;6,2;75;968,8;972;0,3;1;NW;2,1;6,2;0;0;0;0;0
21;01.03.2015 05:06;30;22,4;32;-2,5;80;991,8;995;0,7;1,4;E;-5,5;-2,5;0;0;0;0;0
22;01.03.2015 05:17;30;20;40;6,3;73;967,8;971;3,1;4,1;SW;1,8;2,5;0;0;0;0;0
23;01.03.2015 05:36;30;22,3;32;-2,5;80;991,9;995,1;0;0;E;-5,5;-2,5;0;0;0;0;0
24;01.03.2015 05:47;30;19,9;41;6,3;73;967,2;970,4;0,3;1;W;1,8;6,3;0;0;0;0;0
25;01.03.2015 06:06;30;22,2;32;-2,5;81;992,3;995,5;0;0;E;-5,3;-2,5;0;0;0;0;0
26;01.03.2015 06:17;30;20,1;40;6,3;73;966,3;969,5;2;3,4;W;1,8;5;0;0;0;0;0
27;01.03.2015 06:36;30;22,1;32;-2,3;81;992,5;995,7;1;1,4;E;-5,1;-2,3;0;0;0;0;0
28;01.03.2015 06:47;30;20,6;40;6,9;68;965,4;968,6;1,4;2,7;SW;1,4;6,9;0;0;0;0;0
29;01.03.2015 07:06;30;21,7;33;-2,7;80;992,6;995,8;1,4;1,7;E;-5,7;-2,7;0;0;0;0;0
30;01.03.2015 07:17;30;20,9;40;6,5;70;965,4;968,6;0,7;1,7;SW;1,4;6,5;0;0;0;0;0
31;01.03.2015 07:36;30;21,2;33;--.-;--;993,1;996,3;--.-;--.-;---;--.-;--.-;0;0;0;0;0
32;01.03.2015 07:47;30;21;39;6,6;70;965,2;968,4;1;2;N;1,5;6,6;0;0;0;0;0
